Restaurant,Rating,Famous_for,Location,Cost,Distance
Neighbourhud | All Day Bistro,4.6,"North Indian, Biryani, Fast Food, Pizza, Continental, Beverages","Baner, Pune","₹1,500 for two",691 m
Amora Skyline Lounge & Kitchen,3.8,"North Indian, Chinese, Bar Food, Oriental","Hinjawadi, Pune","₹1,000 for two",4.8 km
Bombay Bistro,4.3,"Bar Food, Pizza, Asian, North Indian, Oriental","Mahalunge, Pune","₹1,000 for two",3.8 km
The Corner Lounge,4.6,"North Indian, Oriental, Continental, Mexican, Seafood, Kebab, Biryani, Desserts","Baner, Pune","₹2,000 for two",678 m
Prem's,4.4,"North Indian, Chinese, Continental, Pizza, Pasta, Sichuan","Baner, Pune","₹1,600 for two",610 m
Agent Jack's,4.3,"Chinese, Salad, North Indian, BBQ, Continental, Pizza, Oriental, Fast Food","Hinjawadi, Pune","₹1,800 for two",4.9 km
Talli,4.3,"Fast Food, Salad, Chinese, Pizza, Pasta, Italian, North Indian, Kebab","Baner, Pune","₹1,900 for two",2 km
Ava Artisan Kitchen & Bar,4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian","Balewadi, Pune","₹1,200 for two",1.7 km
Ishaara,4.5,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages","Wakad, Pune","₹1,400 for two",4.9 km
The Revolution Bar,4.5,"Biryani, Pizza, Continental, Chinese, North Indian, Oriental, Asian, Pasta","Baner, Pune","₹1,800 for two",400 m
YOLO Gastro Lounge,4.2,"Finger Food, North Indian, Continental, Desserts, Bar Food, Beverages","Spot 18 Mall, Pimple Saudagar, Pune","₹1,900 for two",3.9 km
Cherie,4.6,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts","White Square, Hinjawadi, Pune","₹1,900 for two",4.4 km
Yeti - The Himalayan Kitchen,4.1,"Nepalese, Tibetan, Chinese, Momos, Beverages, Asian, Shake, Healthy Food","Aundh, Pune","₹1,400 for two",1.2 km
Yakii,4.4,"Asian, Thai, Sushi, Desserts, Beverages","Balewadi High Street — Phase 2, Pune","₹1,500 for two",1.4 km
Thikana,4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages","White Square, Hinjawadi, Pune","₹1,800 for two",4.4 km
FML - Food Music Love,4.2,"Chinese, Continental, North Indian, Oriental, Italian, Desserts","Hinjawadi, Pune","₹1,900 for two",4.8 km
Punnet By Eterium - Indian Kitchen & Spirits,4.3,"Biryani, Kebab, North Indian, Desserts","Balewadi High Street, Baner, Pune","₹1,400 for two",1.4 km
Eight,4.5,"Asian, Bar Food, Japanese, Sushi","Wakad, Pune","₹2,000 for two",4.9 km
Aloraa Garden Kitchen & Bar,4.4,"Maharashtrian, Continental, Chinese, Kebab, Biryani, Fast Food, Desserts, Bar Food","Baner, Pune","₹1,500 for two",1.6 km
Publiq,4.1,"Asian, North Indian, Italian, Chinese, Biryani, Kebab, Salad, Beverages","White Square, Hinjawadi, Pune","₹2,000 for two",4.5 km
Spice Factory,4.1,"North Indian, Mughlai, Chinese, Biryani, Pizza, Pasta, Beverages","White Square, Hinjawadi, Pune","₹1,200 for two",4.4 km
The Community Table,4.6,"Asian, North Indian, Biryani, Continental, Thai, Desserts, Beverages","Hinjawadi, Pune","₹1,600 for two",4.8 km
The Gulmohar Bar & Curry House,4.5,"North Indian, South Indian, Biryani, Seafood","Baner, Pune","₹2,100 for two",1.3 km
Copa Cabana,4.4,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts","Pimple Nilakh, Pune","₹1,900 for two",3.2 km
Teera,4.1,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake","Wakad, Pune","₹1,800 for two",3.3 km
Terrace By Bailamos,4.3,Asian,"Balewadi, Pune","₹3,000 for two",1.7 km
Akasa Poolbar & Kitchen,4.2,"Continental, North Indian, Bar Food, Asian, Italian","Wakad, Pune","₹2,000 for two",3.8 km
1BHK Superbar,4.4,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood","Baner, Pune","₹2,500 for two",1.1 km
Sukhi Da Dhaba,4.0,"North Indian, Asian, Mughlai, Fast Food, Biryani, Beverages","Wakad, Pune","₹2,000 for two",3.3 km
Hoomans- All Day Bar,4.5,"Oriental, Chinese, Continental, Pasta, Seafood, North Indian, Desserts, Beverages","Balewadi, Pune","₹1,200 for two",1.5 km
Sky Stories,4.2,"Italian, Continental, North Indian, Mughlai, Biryani, Oriental, Bar Food, Desserts","Baner, Pune","₹1,800 for two",1.4 km
Joey's Bistro & Bar,4.5,"European, Oriental, North Indian, Pasta, Pizza, Desserts, Beverages","Baner, Pune","₹1,000 for two",1.8 km
Gong,4.7,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages","Balewadi High Street, Baner, Pune","₹2,000 for two",1.3 km
Mekong Folks,4.6,"Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages","Balewadi, Pune","₹2,000 for two",1.2 km
Nativ,4.4,"North Indian, Mughlai, Continental, Chinese, Asian, Biryani, Bar Food","Prime Rose Mall, Pune","₹1,800 for two",699 m
Bao Story,4.2,Asian,"Hinjawadi, Pune","₹1,200 for two",4.9 km
AB's - Absolute Barbecues,4.5,"North Indian, BBQ, Biryani","Baner, Pune","₹1,650 for two",938 m
Local Gastro Bar,4.1,"Bar Food, Pizza, Beverages","Hinjawadi, Pune","₹2,300 for two",4.9 km
Barrio Roof Top Kitchen And Bar,4.4,"North Indian, Oriental, Chinese, Biryani, Pizza, Pasta, Seafood, Desserts","Pimple Saudagar, Pune","₹1,800 for two",4.1 km
Tales & Spirits - Hunters Bistro,4.3,"Italian, Continental, North Indian, Biryani, Pizza, Fast Food, Desserts, Beverages","Baner, Pune","₹1,450 for two",1.4 km
Makaira Kitchen & Bar,4.3,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian","Wakad, Pune","₹1,500 for two",4.1 km
We Idliwale Barroom,4.4,"South Indian, Biryani, Desserts","Balewadi High Street, Baner, Pune","₹1,500 for two",865 m
Sreca Rooftop Lounge,4.3,"North Indian, Continental, Asian, Bar Food, Chinese, Pizza, Seafood","Pimple Nilakh, Pune","₹1,000 for two",2.4 km
Merchant & Me,4.5,"Middle Eastern, Mediterranean, Lebanese, Kebab","Phoenix Mall of the Millennium, Pune","₹1,200 for two",4.9 km
The Flour Works,4.4,"European, Italian, Healthy Food, Salad, Sandwich, Pizza, Desserts, Beverages","Baner, Pune","₹1,800 for two",1.5 km
Effingut Bistro,4.4,"Asian, Continental, Finger Food, Beverages, Desserts","Balewadi, Pune","₹1,800 for two",948 m
Ice N Fire Sky Lounge,4.3,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts","Baner, Pune","₹1,800 for two",948 m
Elaichi Pure Veg,4.1,"North Indian, Biryani, Continental, Chinese, Pizza, Salad, Desserts, Beverages","Baner, Pune","₹1,200 for two",2.1 km
Rangla Punjab,4.2,"North Indian, Kebab, Mughlai, Biryani, Chinese, Desserts","Pimple Nilakh, Pune",₹950 for two,2.6 km
Tatva The Vegetarian Kitchen,4.0,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages","Baner, Pune","₹1,000 for two",1.6 km
Toscano,4.5,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages","Wakad, Pune","₹1,800 for two",4.9 km
L'Apicio,4.4,"European, Mediterranean, Continental, Desserts","Balewadi High Street — Phase 2, Pune","₹1,800 for two",1.4 km
Angrezi Dhaba,4.3,"Modern Indian, Bar Food, Chinese, Pasta, Seafood, Asian, Desserts, Beverages","Prime Rose Mall, Pune","₹1,000 for two",767 m
